ma_san_pham,ten_san_pham,avg_so_sao,total_positive,total_negative,most_popular_positive_word,most_popular_negative_word
100100001,Sáp Dưỡng Ẩm Vaseline Original Healing Jelly 49g,4.833333333333333,3,0,tốt,
100140034,Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 70ml,5.0,1,0,tốt,
100140042,Gel Dưỡng Ẩm Nature Republic Chiết Xuất Lô Hội 300ml,4.888888888888889,3,0,tốt,
100150041,"Xịt Khoáng Vichy Làm Dịu, Củng Cố & Cấp Ẩm Cho Da 50ml",3.75,0,0,,
100150058,Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 400ml,4.5,3,0,thích,
100150059,Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 150ml,3.857142857142857,6,0,ổn,
100150065,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 50ml",5.0,0,0,,
100150067,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 300ml",5.0,4,1,tốt,khó_chịu
100150091,Xịt Khoáng Evian Cấp Ẩm Và Làm Dịu Da 50ml,5.0,3,0,tốt,
100160021,Kem Chống Nắng Vichy Có Màu Thoáng Mịn Ngăn Sạm Da 50ml,4.666666666666667,10,0,ổn,
100160022,Kem Chống Nắng Vichy Thoáng Nhẹ Không Bóng Dầu SPF 50 50ml,4.0,8,1,tốt,không_thích
100180080,Kem Dưỡng Avène Hỗ Trợ Khôi Phục Hàng Rào Bảo Vệ Da 40ml,5.0,0,0,,
100180089,Kem Dưỡng Avène Giảm Khô Ngứa Cho Da Viêm Thể Tạng 200ml,4.5,2,0,tốt,
100180113,Kem Dưỡng Bioderma Hỗ Trợ Phục Hồi Da Tổn Thương 40ml,4.315789473684211,12,3,tốt,không_thích
100180148,Kem Dưỡng Bioderma Giúp Se Khít Lỗ Chân Lông 30ml,4.714285714285714,10,1,tốt,chậm
100190059,"[Mini] Gel Rửa Mặt La Roche-Posay Dành Cho Da Dầu, Nhạy Cảm 50ml",4.25,9,2,tốt,không_ổn
100190183,Nước Tẩy Trang Nivea Kiểm Soát Nhờn 200ml,5.0,0,0,,
100210014,Tẩy Da Chết Paula’s Choice 5% AHA Cho Da Thường Khô 50ml,5.0,1,0,thích,
100210015,"Serum Timeless Hyaluronic Acid Cấp Nước, Dưỡng Ẩm Da 30ml",5.0,2,0,tốt,
100210016,"Serum Timeless HA + Vitamin C Cấp Ẩm, Làm Sáng Da 30ml",4.2,9,3,hiệu_quả,tệ
100210020,Bút Chấm Eucerin Chuyên Biệt Mờ Đốm Nâu & Thâm Nám 5ml,4.555555555555555,24,2,hiệu_quả,thất_vọng
100210023,Serum Timeless Vitamin B5 Làm Dịu & Phục Hồi Da 30ml,4.9772727272727275,46,2,tốt,tệ
100220009,Sữa Rửa Mặt St.Ives Tẩy Tế Bào Chết Trà Xanh & Than Tre 170g,5.0,4,0,tuyệt_vời,
100220010,Sữa Rửa Mặt St.Ives Tẩy Tế Bào Chết Trái Mơ Ngừa Mụn 170g,4.375,2,1,ổn,hạn_chế
100220035,Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 30ml,4.69811320754717,47,4,tốt,chậm
100220037,Sữa Rửa Mặt St.Ives Tẩy Tế Bào Chết Trái Mơ Tươi Mát 170g,4.666666666666667,6,0,thích,
100230026,Nước Hoa Hồng Evoluderm Dành Cho Da Khô Và Nhạy Cảm 250ml,5.0,0,0,,
100230056,Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 100ml,4.733333333333333,11,0,tốt,
100230057,Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 250ml,4.846153846153846,8,0,thích,
100230059,Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 100ml,4.857142857142857,19,0,thích,
100230064,Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 250ml,4.6,14,1,thích,thất_vọng
100230069,Bông Tẩy Trang Silcot Cơ Bản Hộp 82 Miếng,4.5625,9,1,thích,thất_vọng
100230070,Bông Tẩy Trang Silcot Cao Cấp Hộp 66 Miếng,4.2,4,0,chất_lượng,
100230076,Nước Tẩy Trang Evoluderm Cho Da Khô Và Nhạy Cảm 500ml,1.0,0,0,,
100240016,Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 118ml,4.75,49,3,tốt,chậm
100250032,Miếng Dán Mụn Mayan Ultra Thin Spot Plus 12+8 Miếng,5.0,8,0,tốt,
100250033,Miếng Dán Mụn Mayan Ultra Thin Spot 20+4 Miếng,4.25,2,0,thích,
100270008,Gel Dưỡng Mắt Bioderma Giúp Làm Dịu Và Cấp Ẩm Cho Da 15ml,5.0,1,0,hiệu_quả,
100280011,Gel Dưỡng Mắt Rebirth Ngăn Ngừa Nếp Nhăn & Quầng Thâm 30g,5.0,0,0,,
100750038,Nước Tẩy Trang Byphasse Cho Mọi Loại Da 500ml,4.648148148148148,56,6,tốt,khó_chịu
200400003,Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 500ml,4.857142857142857,13,0,tốt,
200400004,Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 500ml,4.666666666666667,17,1,tốt,không_phù_hợp
200400038,"Kem Dưỡng Bioderma Hỗ Trợ Phục Hồi, Ngừa Thâm SPF50 30ml",5.0,0,0,,
200400041,"Kem Chống Nắng Bioderma Dành Cho Da Dầu, Mụn SPF30 40ml",4.0,1,0,tốt,
200500095,Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 20g,5.0,6,0,tốt,
200500283,[Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 8g,4.75,3,0,tốt,
200500293,[Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 3g,4.8,3,0,ổn,
201100053,Nhíp Lấy Mụn Vacosi Blackhead Tweezers T07,4.0,4,0,tốt,
201600019,Serum Vichy 89 Khoáng Chất Phục Hồi Chuyên Sâu 50ml,4.8,2,0,thích,
201600072,"Kem Chống Nắng Vichy Bảo Vệ, Giảm Lão Hóa 50ml",4.25,2,1,ổn,không_hợp
201600074,Serum Vichy 89 Khoáng Chất Phục Hồi Chuyên Sâu 30ml,5.0,3,0,hài_lòng,
201600141,Sữa Rửa Mặt Vichy Dạng Gel Làm Sạch Sâu & Giảm Nhờn 200ml,5.0,5,0,thích,
201600144,Sữa Rửa Mặt Vichy Dạng Gel Làm Sạch Sâu Da Dầu Mụn 50ml,3.6666666666666665,3,0,tốt,
201600166,"Kem Dưỡng Vichy Ngừa Lão Hóa, Săn Chắc Da Ban Ngày 50ml",5.0,2,0,tốt,
201600182,Sữa Rửa Mặt Vichy Dạng Gel Làm Sạch Sâu & Giảm Nhờn 400ml,5.0,1,0,hiệu_quả,
201600198,Kem Chống Nắng Vichy Chống Bụi Mịn Cho Da Dầu Mụn 50ml,4.333333333333333,17,4,tốt,không_hợp
204000033,Nước Hoa Hồng Evoluderm Dành Cho Da Khô Và Nhạy Cảm 500ml,4.0,1,0,chất_lượng,
